Test_case,Flow_rate,Inlet_temperature,Speed,Copper_loss,T_layer_a_f,T_layer_b_f,T_layer_c_f,T_layer_d_f,T_layer_e_f,T_layer_f_f,T_layer_a_r,T_layer_b_r,T_layer_c_r,T_layer_d_r,T_layer_e_r,T_layer_f_r,T_layer_a_f_motorcad,T_layer_b_f_motorcad,T_layer_c_f_motorcad,T_layer_d_f_motorcad,T_layer_e_f_motorcad,T_layer_f_f_motorcad,T_layer_a_r_motorcad,T_layer_b_r_motorcad,T_layer_c_r_motorcad,T_layer_d_r_motorcad,T_layer_e_r_motorcad,T_layer_f_r_motorcad,Correlation_Factor_layer_a_f_motorcad,Correlation_Factor_layer_b_f_motorcad,Correlation_Factor_layer_c_f_motorcad,Correlation_Factor_layer_d_f_motorcad,Correlation_Factor_layer_e_f_motorcad,Correlation_Factor_layer_f_f_motorcad,Correlation_Factor_layer_a_r_motorcad,Correlation_Factor_layer_b_r_motorcad,Correlation_Factor_layer_c_r_motorcad,Correlation_Factor_layer_d_r_motorcad,Correlation_Factor_layer_e_r_motorcad,Correlation_Factor_layer_f_r_motorcad
21,4,40,15000,4800,47.65139975845741,48.112148673292296,48.534243155066655,48.85806429224601,49.28712885648447,49.68271001206269,47.48680898293188,48.002793372778086,48.04759487892302,48.34380127,49.151577583918986,49.43385113673656,50.08647383720747,50.39486631417083,50.607577019903,50.771476683947434,51.009595787346306,51.23883039330337,50.12163956320308,50.50679431378822,50.38732447390945,50.539312308203264,51.10744125508104,51.22943559440617,1.27173259620517,1.27910190150333,1.27674418216333,1.27108221341228,1.25894459232873,1.2493529637121,1.31160656578352,1.3218903969878,1.30425299660733,1.29976244905675,1.30966049779081,1.29988715264756
22,4,75,0,960,81.77741420657435,82.20889949792812,82.96050336742289,83.25828864758145,83.96311757821483,84.18661620358108,81.44737180604923,81.86121083,82.27713122542804,82.54148836483404,83.40339952091395,83.56064491,80.9508992619429,81.19141437656972,81.3996939622255,81.46762045694284,81.53094615869986,81.52402936792086,81.18265923277664,81.4436145224122,81.4403008083568,81.50706035099903,81.81129883054538,81.77073952703444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.00000001
23,4,75,2500,1440,82.74969108157583,83.24216525,83.99807281,84.34799329831436,85.06269882370188,85.32390087962547,82.40969873447969,82.89625432464067,83.26477409077816,83.57611079622603,84.53056650526536,84.71395421642197,82.57223294914401,82.85454546557894,83.07998329690625,83.16398201602985,83.23736551869219,83.23098892953846,82.86187120570122,83.18130053147084,83.12185337895251,83.20469912188057,83.60521658772545,83.55289114054378,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.00000001
24,4,75,5000,1920,81.54514735,82.00723637189424,82.58395942307682,82.91206433535437,83.47001913326538,83.73286602849453,81.27866640914579,81.74632722952079,81.98287539869129,82.27366808734118,83.08033539503876,83.2632373,81.68418254263273,82.02000983120185,82.64850632259909,82.8756359192266,83.63884200825703,83.71779084115039,81.46534047583982,81.80185032517566,82.02782647933446,82.21199874223436,83.09825274089366,83.16351403631353,1.06925293924832,1.0535502059759,0.9871825958716,0.959878418015399,0.873302768525836,0.858518281875655,1.15503805375583,1.14543465692274,1.0884535354706,1.06520903758662,0.993307748579962,0.968982754295119
25,4,75,7500,2400,80.12786402782831,80.52689272091732,80.93575059814842,81.21344641931668,81.61358997650031,81.84988542257558,79.93553239939989,80.34720176103536,80.48337044973336,80.72910697185836,81.35319528434474,81.51583719292417,79.69298252895531,79.9684125674991,80.47066377434658,80.73236575702876,81.5307827146854,81.80047660045769,79.36528408933854,79.61857203759799,79.82532015230764,80.01406408620375,80.71636661120935,80.87169674984321,1.31069188535488,1.29026368437995,1.19641682888703,1.1433992592905,1.00886501176912,0.950872953518521,1.46939813881891,1.46366292736049,1.36809252298179,1.32422652334778,1.22799068469106,1.17224969325575
26,4,75,10000,2880,79.00906760348333,79.34380844170435,79.63536673400407,79.86126257678285,80.14636906186998,80.34445870634178,78.87163403829771,79.22227608452627,79.29870679756844,79.49894714,79.97576434,80.11021555043511,79.0013300800364,79.21115591825856,79.450559572803,79.60899184712576,79.93589170191395,80.09144780284578,78.86275473118776,79.07535927037375,79.14359830199118,79.2697664666612,79.658915565047,79.75047160360455,1.29616347518539,1.29348929915289,1.249322773187,1.21750357926827,1.1473350186899,1.10622682421248,1.39570295790949,1.40392561801016,1.34700569207008,1.32122786682984,1.28433258525723,1.24394217841438
27,4,75,12500,2880,77.72777989119278,77.96892719282536,78.15282353099389,78.30953558732955,78.48749024136255,78.62401631613486,77.64435684929626,77.89960476163945,77.93669616750967,78.07619613863392,78.39303245161364,78.48448827931178,78.77637334594016,78.98001222409144,79.06589272028597,79.1273341425053,79.16493839213419,79.17814080080254,78.91358269792065,79.15923028792898,79.07044104558533,79.13092834115551,79.37231047852795,79.34577243454405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.00000001
28,4,75,15000,2880,76.94267201207074,77.12049689053748,77.24317281684978,77.35532344031112,77.47284935407953,77.56942996,76.88989991488987,77.07988690179675,77.09796172921071,77.19832085484751,77.41922359318153,77.48311175346646,77.88547218769418,78.05216195665477,78.11642851428297,78.16729934384995,78.19646581240195,78.20766377813791,77.98945529515456,78.19088408236172,78.11881917332514,78.16888536407566,78.3574880649403,78.33656682839063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.00000001
29,6,40,0,2560,55.980711572542944,56.66835044027115,57.8907946304905,58.45353890049102,59.650454994289134,60.13081495724778,55.40169317664876,56.128333663205815,56.59174910912837,57.10237055457169,58.87807647029936,59.19822915961535,54.555380739401066,54.96659755305098,56.34069149842363,56.72619314740099,58.64792739147356,58.9447916047824,53.72204629764617,54.182969282490205,54.6909568331446,55.00518378521316,56.914384865709174,57.028137474873006,1.31317310468649,1.29855914504411,1.20385086339928,1.17312531845058,1.04385759793081,1.01378483330956,1.45772888901714,1.44349298394969,1.35838884382166,1.33056013187945,1.2309436945242,1.20468187444026
30,6,40,2500,3840,60.26952794403138,61.17981519201649,62.625131764627135,63.33997330670887,64.74354864624576,65.37413448808613,59.62432127185863,60.59867930238696,61.09582540139771,61.74780242,63.93520231470545,64.36094066119907,60.041732575853345,60.56300632679287,61.64834886046721,62.021235168113286,63.3326466974367,63.60948646365005,59.557411197591854,60.18729357587064,60.39799750753142,60.72965126033188,62.53001508818179,62.61519043733196,1.2995599158982,1.29416478784903,1.25041378797532,1.23258556988234,1.16690578120708,1.14809920948341,1.3875151903168,1.38152840806944,1.33773799482029,1.32147354410507,1.27621951828709,1.26018368036282
